dataset,hidden_layers,accuracy,precision_1,precision_2,precision_3,precision_4,precision_5,precision_6,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,mse,rmse,mae
Cancer,0,0.9839,0.99542334,0.96341463,,,,,0.97972973,0.99163180,,,,,,,
Cancer,1,0.9824,0.99769585,0.95582329,,,,,0.97522523,0.99581590,,,,,,,
Cancer,2,0.9824,0.99769585,0.95582329,,,,,0.97522523,0.99581590,,,,,,,
Glass,0,0.7006,0.68421053,0.65217391,0.66666667,0.80000000,0.60000000,0.89285714,0.74285714,0.78947368,0.11764706,0.61538462,0.33333333,0.86206897,,,
Glass,1,0.5829,0.57954545,0.56666667,0.00000000,0.00000000,0.00000000,0.63888889,0.72857143,0.67105263,0.00000000,0.00000000,0.00000000,0.79310345,,,
Glass,2,0.5115,0.50000000,0.50458716,0.00000000,0.00000000,0.00000000,0.66666667,0.64285714,0.72368421,0.00000000,0.00000000,0.00000000,0.34482759,,,
Soybean,0,1.0000,1.00000000,1.00000000,1.00000000,1.00000000,,,1.00000000,1.00000000,1.00000000,1.00000000,,,,,
Soybean,1,0.8950,0.90000000,1.00000000,1.00000000,0.80952381,,,0.90000000,1.00000000,0.60000000,1.00000000,,,,,
Soybean,2,0.8100,0.75000000,0.88888889,0.70000000,0.87500000,,,0.90000000,0.80000000,0.70000000,0.82352941,,,,,
Abalone,0,,,,,,,,,,,,,,5.2046,2.2814,1.6332
Abalone,1,,,,,,,,,,,,,,5.1760,2.2751,1.6407
Abalone,2,,,,,,,,,,,,,,6.0889,2.4676,1.7835
Hardware,0,,,,,,,,,,,,,,5621.5500,74.9770,41.6044
Hardware,1,,,,,,,,,,,,,,2518.7115,50.1868,26.6828
Hardware,2,,,,,,,,,,,,,,4805.4227,69.3212,34.2796
Fires,0,,,,,,,,,,,,,,1.9388,1.3924,1.1325
Fires,1,,,,,,,,,,,,,,1.9108,1.3823,1.1350
Fires,2,,,,,,,,,,,,,,1.9130,1.3831,1.1438