dataset,algorithm,layers,mse,rmse,mae
abalone,ga,0,4.8986,2.2132,1.5956
abalone,ga,1,4.8717,2.2071,1.6029
abalone,ga,2,5.7309,2.3939,1.7424
abalone,de,0,6.3248,2.5150,1.7637
abalone,de,1,6.2901,2.5081,1.7718
abalone,de,2,7.3995,2.7203,1.9260
abalone,pso,0,5.3340,2.3096,1.6737
abalone,pso,1,5.3047,2.3032,1.6814
abalone,pso,2,6.2403,2.4981,1.8278
hardware,ga,0,36800.9694,191.8358,105.0151
hardware,ga,1,36920.0616,192.1459,105.8794
hardware,ga,2,36785.5400,191.7956,105.2337
hardware,de,0,17918.7098,133.8608,85.4840
hardware,de,1,20518.6910,143.2435,92.9771
hardware,de,2,20542.1950,143.3255,91.6421
hardware,pso,0,21262.7793,145.8176,79.7445
hardware,pso,1,23501.7685,153.3029,90.4178
hardware,pso,2,24700.9863,157.1655,96.0944
fires,ga,0,1.8248,1.3508,1.1064
fires,ga,1,1.8784,1.3705,1.1255
fires,ga,2,1.8944,1.3764,1.1370
fires,de,0,2.3561,1.5350,1.2230
fires,de,1,2.1295,1.4593,1.1867
fires,de,2,2.1034,1.4503,1.1870
fires,pso,0,1.9870,1.4096,1.1606
fires,pso,1,2.2312,1.4937,1.2274
fires,pso,2,2.1501,1.4663,1.2223